productName,priceInDollar,rating,numberOfRates,Link
Kingston DataTraveler OTG 32 GB OTG Drive,12.13,4.3,"1,333",https://www.flipkart.com/kingston-datatraveler-otg-32-gb-drive/p/itmf3qy9agjv4yjw?pid=ACCEE2SUVFYKVRTT&lid=LSTACCEE2SUVFYKVRTTI171X8&marketplace=FLIPKART&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCEE2SUVFYKVRTT.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston DTDUO3/16GBIN 16 GB OTG Drive,12.46,4.1,375,https://www.flipkart.com/kingston-dtduo3-16gbin-16-gb-otg-drive/p/itmf7h7u9vej24m5?pid=ACCF7H7UUYY2THWG&lid=LSTACCF7H7UUYY2THWGQ6NKIZ&marketplace=FLIPKART&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCF7H7UUYY2THWG.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston USB 3.0 Data Traveler 50- 64 GB Pen Drive,17.31,3,6,https://www.flipkart.com/kingston-usb-3-0-data-traveler-50-64-gb-pen-drive/p/itmf3qy9rfzcmwha?pid=ACCEZNZ2ZWHFZ5FB&lid=LSTACCEZNZ2ZWHFZ5FBT3BUFB&marketplace=FLIPKART&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCEZNZ2ZWHFZ5FB.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston DTSE9 USB Flash Drive 64GB Pen Drive 64 GB Pen Drive,11.14,4,22,https://www.flipkart.com/kingston-dtse9-usb-flash-drive-64gb-pen-64-gb/p/itmb1df098fbf3bc?pid=ACCFZ26JUNHYGYS5&lid=LSTACCFZ26JUNHYGYS5VWQXPX&marketplace=FLIPKART&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCFZ26JUNHYGYS5.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston DataTraveler SE9 G2 USB 3.1 32 GB Pen Drive,17.04,4.3,379,https://www.flipkart.com/kingston-datatraveler-se9-g2-usb-3-1-32-gb-pen-drive/p/itmf9jzwu6rjbnqz?pid=ACCF9HRPHFVY8XGR&lid=LSTACCF9HRPHFVY8XGRGG4ZVD&marketplace=FLIPKART&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCF9HRPHFVY8XGR.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston DT50 DataTraveler 50 - 32GB Pendrive - USB 3.1/3.0/2.0 32 GB Pen Drive,34.08,2,3,https://www.flipkart.com/kingston-dt50-datatraveler-50-32gb-pendrive-usb-3-1-3-0-2-0-32-gb-pen-drive/p/itmf3synd94n7yub?pid=ACCFG7WHHY8YS5WT&lid=LSTACCFG7WHHY8YS5WTVOQT2Z&marketplace=FLIPKART&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCFG7WHHY8YS5WT.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston USB Flash Drive 64 GB Pen Drive,11.28,4.1,144,https://www.flipkart.com/kingston-usb-flash-drive-64-gb-pen/p/itmfeqxyz7fj7psx?pid=ACCFEQWB57HTJZBT&lid=LSTACCFEQWB57HTJZBTPNRYLX&marketplace=FLIPKART&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCFEQWB57HTJZBT.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston DTSE9 DataTraveler SE9 - 16GB Pendrive - USB 2.0 16 GB Pen Drive,7.26,3.4,18,https://www.flipkart.com/kingston-dtse9-datatraveler-se9-16gb-pendrive-usb-2-0-16-gb-pen-drive/p/itmf3smfghugxcvm?pid=ACCF3SYFFZQKCBZ8&lid=LSTACCF3SYFFZQKCBZ8PHGMNY&marketplace=FLIPKART&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCF3SYFFZQKCBZ8.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston HYPERX 1 TB OTG Drive,65.54,4.4,43,https://www.flipkart.com/kingston-hyperx-1-tb-otg-drive/p/itm0626d7c7e8e6f?pid=ACCFNJ45PZVJRHZS&lid=LSTACCFNJ45PZVJRHZSKPCHRV&marketplace=FLIPKART&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCFNJ45PZVJRHZS.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston DT50 DataTraveler 50 - Combo of Two 16GB Pendrive - USB 3.1/3.0/2.0 16 GB Pen Drive,10.23,4.3,"6,956",https://www.flipkart.com/kingston-dt50-datatraveler-50-combo-two-16gb-pendrive-usb-3-1-3-0-2-0-16-gb-pen-drive/p/itmf3qyaqnyezmfv?pid=ACCF3K7DFDFPGPYC&lid=LSTACCF3K7DFDFPGPYCQP5CUZ&marketplace=FLIPKART&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCF3K7DFDFPGPYC.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston DataTraveler USB Flash Drive 64 GB Pen Drive,11.41,4.1,661,https://www.flipkart.com/kingston-datatraveler-usb-flash-drive-64-gb-pen/p/itmferdvpkvnrdkx?pid=ACCFEQWRF4TGE3SV&lid=LSTACCFEQWRF4TGE3SVCZH7BT&marketplace=FLIPKART&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCFEQWRF4TGE3SV.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston OTG DataTraveler MicroDuo USB 3.0 64 GB Pen Drive,32.78,4.2,380,https://www.flipkart.com/kingston-otg-datatraveler-microduo-usb-3-0-64-gb-pen-drive/p/itmf8ryhczrmfd4y?pid=ACCF8QWYAWVJFZJY&lid=LSTACCF8QWYAWVJFZJY0B6KMY&marketplace=FLIPKART&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCF8QWYAWVJFZJY.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston DTSWIVL/32GBIN 32 GB Pen Drive,5.89,4.2,436,https://www.flipkart.com/kingston-dtswivl-32gbin-32-gb-pen-drive/p/itmfdqvshdfzxuw6?pid=ACCFDBAVXRHVZPHU&lid=LSTACCFDBAVXRHVZPHUMFX9XF&marketplace=FLIPKART&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCFDBAVXRHVZPHU.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston DataTraveler SE9 G2 32 GB Pen Drive,11.13,4.3,305,https://www.flipkart.com/kingston-datatraveler-se9-g2-32-gb-pen-drive/p/itmf3qy9dgqrtgvh?pid=ACCEH9BGJGNECXYZ&lid=LSTACCEH9BGJGNECXYZPTOARE&marketplace=FLIPKART&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCEH9BGJGNECXYZ.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston DataTraveler SE9 G2 16 GB Pen Drive,6.69,4.4,"1,140",https://www.flipkart.com/kingston-datatraveler-se9-g2-16-gb-pen-drive/p/itmf3qyacwdbykxm?pid=ACCEH9BGJFMXF67F&lid=LSTACCEH9BGJFMXF67FTIJB6O&marketplace=FLIPKART&srno=s_1_26&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCEH9BGJFMXF67F.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston DTDUO3C/32GBIN 32 GB OTG Drive,10.48,4.3,"3,447",https://www.flipkart.com/kingston-dtduo3c-32gbin-32-gb-otg-drive/p/itmf3qy9gd4bhuzf?pid=ACCEHB7SYFD5BJ6U&lid=LSTACCEHB7SYFD5BJ6UMRIQGM&marketplace=FLIPKART&srno=s_1_27&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCEHB7SYFD5BJ6U.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
Kingston DTDUO3C/64GBIN 64 GB OTG Drive,18.34,4.3,131,https://www.flipkart.com/kingston-dtduo3c-64gbin-64-gb-otg-drive/p/itmf3qy9f9ftja7s?pid=ACCEHB7SNVYUGR8E&lid=LSTACCEHB7SNVYUGR8EFKMVB4&marketplace=FLIPKART&srno=s_1_28&otracker=search&otracker1=search&fm=organic&iid=c5702974-c29b-470c-bf3c-f23884e33e8e.ACCEHB7SNVYUGR8E.SEARCH&ssid=y2tw89m7w00000001585149132595&qH=72efd12dbd65e919
