productName,priceInDollar,rating,numberOfRates,Link
Kingston Data Traveler 50 64 GB Pen Drive,10.16,3.9,54,https://www.flipkart.com/kingston-data-traveler-50-64-gb-pen-drive/p/itm3d61f7ece0c5d?pid=ACCFJZJQHHN5FPGS&lid=LSTACCFJZJQHHN5FPGS4WB0LF&marketplace=FLIPKART&srno=s_2_47&otracker=search&otracker1=search&fm=organic&iid=7a561a65-60e8-45ff-bb8d-fdd01250984f.ACCFJZJQHHN5FPGS.SEARCH&ssid=szmxu5w3c00000001585149135137&qH=72efd12dbd65e919
Kingston SWIVL 64 GB Pen Drive,22.28,2.9,286,https://www.flipkart.com/kingston-swivl-64-gb-pen-drive/p/itmff2vmcwptyxyx?pid=ACCFF2TUCMWRQGMS&lid=LSTACCFF2TUCMWRQGMSYOQK5N&marketplace=FLIPKART&srno=s_2_48&otracker=search&otracker1=search&fm=organic&iid=7a561a65-60e8-45ff-bb8d-fdd01250984f.ACCFF2TUCMWRQGMS.SEARCH&ssid=szmxu5w3c00000001585149135137&qH=72efd12dbd65e919
Kingston DTSE9 32 GB Pen Drive,7.01,2.7,37,https://www.flipkart.com/kingston-dtse9-32-gb-pen-drive/p/itmf3qxfzqh2brfu?pid=ACCFEBUKCQG4RWXZ&lid=LSTACCFEBUKCQG4RWXZFGZ7YY&marketplace=FLIPKART&srno=s_2_49&otracker=search&otracker1=search&fm=organic&iid=7a561a65-60e8-45ff-bb8d-fdd01250984f.ACCFEBUKCQG4RWXZ.SEARCH&ssid=szmxu5w3c00000001585149135137&qH=72efd12dbd65e919
Kingston DTSWIVL/32BIN 32 GB Pen Drive,8.51,4.4,43,https://www.flipkart.com/kingston-dtswivl-32bin-32-gb-pen-drive/p/itm0c830e621a807?pid=ACCFZDBT2DBFJQFQ&lid=LSTACCFZDBT2DBFJQFQAKHUKO&marketplace=FLIPKART&srno=s_2_50&otracker=search&otracker1=search&fm=organic&iid=7a561a65-60e8-45ff-bb8d-fdd01250984f.ACCFZDBT2DBFJQFQ.SEARCH&ssid=szmxu5w3c00000001585149135137&qH=72efd12dbd65e919
Kingston DT50/16GBIN 16 GB Pen Drive,6.95,4,43,https://www.flipkart.com/kingston-dt50-16gbin-16-gb-pen-drive/p/itmfdkc7zykpwzrh?pid=ACCFDBHXSMT6Z54N&lid=LSTACCFDBHXSMT6Z54NXANXR4&marketplace=FLIPKART&srno=s_2_51&otracker=search&otracker1=search&fm=organic&iid=7a561a65-60e8-45ff-bb8d-fdd01250984f.ACCFDBHXSMT6Z54N.SEARCH&ssid=szmxu5w3c00000001585149135137&qH=72efd12dbd65e919
Kingston DataTraveler SE9 G2 128 GB Pen Drive,30.8,4.2,179,https://www.flipkart.com/kingston-datatraveler-se9-g2-128-gb-pen-drive/p/itmf3qy93kfyazzz?pid=ACCEH9BGGJGEM68G&lid=LSTACCEH9BGGJGEM68GNNSQAT&marketplace=FLIPKART&srno=s_2_52&otracker=search&otracker1=search&fm=organic&iid=7a561a65-60e8-45ff-bb8d-fdd01250984f.ACCEH9BGGJGEM68G.SEARCH&ssid=szmxu5w3c00000001585149135137&qH=72efd12dbd65e919
Kingston DataTraveler SE9 32 GB Pen Drive,15.72,3.7,3,https://www.flipkart.com/kingston-datatraveler-se9-32-gb-pen-drive/p/itmewz3rx6z7dy2f?pid=ACCEE3GG6GWGFDAH&lid=LSTACCEE3GG6GWGFDAH1IXPUT&marketplace=FLIPKART&srno=s_2_53&otracker=search&otracker1=search&fm=organic&iid=7a561a65-60e8-45ff-bb8d-fdd01250984f.ACCEE3GG6GWGFDAH.SEARCH&ssid=szmxu5w3c00000001585149135137&qH=72efd12dbd65e919
Kingston DATA TRAVELER SE9 32 GB Pen Drive,14.41,0,0,https://www.flipkart.com/kingston-data-traveler-se9-32-gb-pen-drive/p/itmf852zepvdwwez?pid=ACCF83FJEVFFS6SK&lid=LSTACCF83FJEVFFS6SKWAEMYE&marketplace=FLIPKART&srno=s_2_54&otracker=search&otracker1=search&fm=organic&iid=7a561a65-60e8-45ff-bb8d-fdd01250984f.ACCF83FJEVFFS6SK.SEARCH&ssid=szmxu5w3c00000001585149135137&qH=72efd12dbd65e919
Kingston 32GB PENDRIVE OTG TYPE-C 3.1 32 GB OTG Drive,20.96,0,0,https://www.flipkart.com/kingston-32gb-pendrive-otg-type-c-3-1-32-gb-drive/p/itmffrjkjsh8gdwa?pid=ACCFFR4YXU3FSVWH&lid=LSTACCFFR4YXU3FSVWHT9HAKW&marketplace=FLIPKART&srno=s_2_55&otracker=search&otracker1=search&fm=organic&iid=7a561a65-60e8-45ff-bb8d-fdd01250984f.ACCFFR4YXU3FSVWH.SEARCH&ssid=szmxu5w3c00000001585149135137&qH=72efd12dbd65e919
Kingston Data Traveler SE9 2.0 16 GB Pen Drive,6.54,0,0,https://www.flipkart.com/kingston-data-traveler-se9-2-0-16-gb-pen-drive/p/itmf95ejhsyhzbak?pid=ACCF94H3NG7PMBTW&lid=LSTACCF94H3NG7PMBTW0MAGLJ&marketplace=FLIPKART&srno=s_2_56&otracker=search&otracker1=search&fm=organic&iid=7a561a65-60e8-45ff-bb8d-fdd01250984f.ACCF94H3NG7PMBTW.SEARCH&ssid=szmxu5w3c00000001585149135137&qH=72efd12dbd65e919
Kingston Data Traveler SE9 16 GB Pen Drive,5.57,0,0,https://www.flipkart.com/kingston-data-traveler-se9-16-gb-pen-drive/p/itmf3qy99ayjghpd?pid=ACCEBXKMPEBM5GGU&lid=LSTACCEBXKMPEBM5GGURYDHIW&marketplace=FLIPKART&srno=s_2_57&otracker=search&otracker1=search&fm=organic&iid=7a561a65-60e8-45ff-bb8d-fdd01250984f.ACCEBXKMPEBM5GGU.SEARCH&ssid=szmxu5w3c00000001585149135137&qH=72efd12dbd65e919
Kingston HYPERX 512 GB Pen Drive,47.19,0,0,https://www.flipkart.com/kingston-hyperx-512-gb-pen-drive/p/itm40f3b5129bd48?pid=ACCFNJ3J3UXFG9MQ&lid=LSTACCFNJ3J3UXFG9MQGQWVGS&marketplace=FLIPKART&srno=s_2_58&otracker=search&otracker1=search&fm=organic&iid=7a561a65-60e8-45ff-bb8d-fdd01250984f.ACCFNJ3J3UXFG9MQ.SEARCH&ssid=szmxu5w3c00000001585149135137&qH=72efd12dbd65e919
Kingston HYPERX 512 GB Pen Drive,43.25,0,0,https://www.flipkart.com/kingston-hyperx-512-gb-pen-drive/p/itm40f3b5129bd48?pid=ACCFQYX645U7AGZD&lid=LSTACCFQYX645U7AGZDHEFCDK&marketplace=FLIPKART&srno=s_2_59&otracker=search&otracker1=search&fm=organic&iid=7a561a65-60e8-45ff-bb8d-fdd01250984f.ACCFQYX645U7AGZD.SEARCH&ssid=szmxu5w3c00000001585149135137&qH=72efd12dbd65e919
